学籍番号,名前,ふりがな,性別,IDm
S048,澤元詠一,さわもとえいいち,男,012E44A7A518581E
S049,下川香,しもかわかおる,女,012E44A7A5186DA7
S050,下河内公成,しもこうちきみなり,男,012E44A7A51596B6
S051,白鳥一功,しらとりかずのり,男,012E44A7A512394B
S052,末満泰治,すえみつたいじ,男,012E44A7A511AE80
S053,隅田庸介,すみたようすけ,男,012E44A7A515BF58
S054,鷹取知也,たかとりともや,男,012E44A7A515587D
S055,滝田俊明,たきたとしあき,男,012E44A7A5155770
S056,田盛毅彦,たもりたけひこ,男,012E44A7A5111D86
S057,田屋洋志,たやひろし,男,012E44A7A5127B45
S058,太矢浩将,たやひろまさ,男,012E44A7A5127497
S059,檀野康昭,だんのやすあき,男,012E44A7A5117AA5
S060,鄭健一郎,ちょんけんいちろう,男,012E44A7A515235C
S061,東矢千裕,とうやちひろ,男,012E44A7A512963F
S062,東山勇人,とうやまゆうと,男,012E44A7A5158A31
S063,得永希予,とくながきよ,女,012E44A7A5113FB6
S064,徳益榮,とくますさかえ,男,012E44A7A5154E78
S065,戸津崎礼央奈,とつざきれおな,女,012E44A7A515A494
S066,友藤竜治,ともふじりゅうじ,男,012E44A7A5188758
S067,豊長夢香,とよながゆか,女,012E44A7A518528F
S068,堂脇一志,どうわきひとし,男,012E44A7A5185054
S069,中妻潔志,なかつまきよし,男,012E44A7A5188329
S070,中松光一,なかまつこういち,男,012E44A7A515305C
S071,西垣内利秀,にしごうちとしひで,男,012E44A7A5129B45
S072,西関真寿,にしぜきまさとし,男,012E44A7A5158998
S073,登祐平,のぼるゆうへい,男,012E44A7A511AC3F
S074,野焼城司,のやきじょうじ,男,012E44A7A515729B
S075,萩間敦大,はぎまあつひろ,男,012E44A7A5158231
S076,波佐間敬次,はざまけいじ,男,012E44A7A5157E58
S077,蓮池夕加里,はすいけゆかり,女,012E44A7A5159335
S078,初山孝徳,はつやまたかのり,男,012E44A7A5159E8F
S079,波頭直司,はとうなおし,男,012E44A7A518269E
S080,花本圭祐,はなもとけいすけ,男,012E44A7A5184C7F
S081,菱泰章,ひしやすあき,男,012E44A7A5185260
S082,日髙貴幸,ひだかたかゆき,男,012E44A7A518C560
S083,樋爪顕治,ひづめけんじ,男,012E44A7A5182058
S084,平野仰,ひらのあおぐ,男,012E44A7A51853A1
S085,広文哉,ひろふみや,男,012E44A7A51875B5
S086,深野木茂則,ふかのきしげのり,男,012E44A7A518AB94
S087,村濱準二,むらはまじゅんじ,男,012E44A7A518296D
S088,矢形具美,やかたともみ,女,012E44A7A51869B3
S089,八下田駿佑,やげたしゅんすけ,男,012E44A7A51832AB
S090,八武崎榛菜,やぶさきはるな,女,012E44A7A518A145
S091,山畑照樹,やまばたてるき,男,012E44A7A5128D80
S092,行田博彦,ゆきたひろひこ,男,012E44A7A51586AF
S093,柞木道典,ゆすのきみちのり,男,012E44A7A5157F5B
S094,弓座義政,ゆみざよしまさ,男,012E44A7A515207D
S095,吉中龍之介,よしなかりゅうのすけ,男,012E44A7A5151E70
S096,吉馴典和,よしなれのりかず,男,012E44A7A518A8B0
S097,吉広清悟,よしひろせいご,男,012E44A7A5125552
S098,吉光幸太,よしみつこうた,男,012E44A7A518BB99
S099,与那豊茂,よなとよしげ,男,012E44A7A5188331
S100,渡利雄祐,わたりゆうすけ,男,012E44A7A5112853
